(4, 7, False),85870,95111,0.474470
(2, 8, False),84658,95713,0.469355
(6, 7, False),94852,85705,0.525330
(1, 10, True),29292,31267,0.483694
(8, 9, False),101110,80082,0.558027
(4, 4, False),42809,47081,0.476238
(0, 2, True),27243,33069,0.451701
(9, 11, True),34338,25826,0.570740
(0, 5, True),26716,33333,0.444903
(1, 4, False),82055,98555,0.454321
(10, 11, False),104972,75756,0.580829
(3, 8, False),86921,92865,0.483469
(7, 11, True),28975,31059,0.482643
(1, 7, False),81989,99075,0.452818
(0, 12, True),28301,32096,0.468583
(10, 12, False),104540,76699,0.576807
(6, 11, False),93511,86527,0.519396
(3, 7, False),88650,91962,0.490831
(1, 2, False),81755,99319,0.451500
(4, 12, True),29221,31123,0.484240
(5, 10, False),91394,89328,0.505716
(0, 9, True),28550,31530,0.475200
(9, 10, True),32775,27349,0.545123
(2, 6, True),25264,35370,0.416664
(2, 5, True),27933,32092,0.465356
(1, 8, False),84326,96701,0.465820
(4, 6, True),30204,30060,0.501195
(1, 11, False),91595,89566,0.505600
(8, 11, True),33256,27097,0.551025
(2, 12, True),32528,27785,0.539320
(0, 7, False),82494,98958,0.454633
(2, 11, True),30441,30234,0.501706
(6, 12, True),34212,26358,0.564834
(0, 4, False),81243,99960,0.448354
(9, 9, False),49025,41522,0.541432
(5, 6, False),91437,89188,0.506226
(1, 5, True),24206,35833,0.403171
(0, 1, False),79094,101179,0.438746
(3, 9, True),31548,29294,0.518523
(3, 10, True),31045,29369,0.513871
(6, 10, True),28037,32148,0.465847
(4, 9, False),88400,92125,0.489683
(6, 9, True),31159,28997,0.517970
(1, 3, True),27917,32477,0.462248
(7, 8, False),101103,79608,0.559473
(0, 11, False),94789,86536,0.522757
(3, 4, True),27901,32605,0.461128
(2, 3, False),86226,94656,0.476698
(5, 11, True),32966,27542,0.544821
(0, 8, False),86493,94169,0.478756
(2, 4, False),86032,94705,0.476007
(1, 9, True),26439,33703,0.439610
(2, 9, False),86353,94604,0.477202
(11, 12, False),110506,69832,0.612772
(8, 10, False),97378,83759,0.537593
(4, 5, False),89930,91023,0.496980
(0, 6, True),28982,31786,0.476929
(2, 10, False),91488,89784,0.504700
(11, 11, False),51806,38613,0.572955
(9, 12, True),34135,26077,0.566914
(3, 11, True),28120,32038,0.467436
(5, 7, True),31037,29009,0.516887
(3, 12, False),93321,87353,0.516516
(0, 3, True),26614,33749,0.440899
(3, 11, False),93822,86536,0.520199
(1, 6, False),82049,99030,0.453112
(5, 6, True),29597,31154,0.487185
(4, 8, True),27018,33577,0.445878
(6, 8, False),95304,85538,0.527001
(4, 11, True),31743,28567,0.526331
(3, 6, False),86596,94216,0.478928
(7, 9, True),32745,27451,0.543973
(1, 1, False),38929,51159,0.432122
(0, 10, True),30539,29461,0.508983
(7, 10, True),32549,28022,0.537369
(4, 10, True),32093,28326,0.531174
(3, 5, False),87613,92830,0.485544
(1, 12, False),95624,85006,0.529392
(5, 9, False),93425,87592,0.516112
(5, 12, False),94317,86493,0.521636
(7, 12, True),32753,27094,0.547279
(2, 8, True),30784,29817,0.507978
(2, 7, True),28585,31633,0.474692
(1, 10, False),87880,93413,0.484740
(1, 4, True),27215,32978,0.452129
(4, 7, True),29615,30597,0.491845
(6, 7, True),30425,29753,0.505583
(10, 11, True),33485,26380,0.559342
(8, 9, True),32190,28215,0.532903
(0, 5, False),79462,101463,0.439199
(5, 5, False),43900,46519,0.485517
(0, 2, False),76256,104473,0.421936
(9, 11, False),99344,81612,0.548995
(1, 7, True),29457,30613,0.490378
(10, 12, True),35874,24941,0.589887
(12, 12, False),53305,37139,0.589370
(4, 10, False),88468,91767,0.490848
(3, 7, True),26062,33816,0.435252
